id,value2,value3,value4,value,annotation
31,11.23,11.23,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
79,11.23,11.23,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
321,11.23,11.23,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
50,11.237,11.237,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
55,11.24,11.24,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
156,11.24,11.24,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
44,11.25,11.25,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
315,11.25,14.25,0,0.05,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
21,11.25,16.25,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
323,11.25,15.75,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
153,11.25,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
332,11.25,,,,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben oder auf der Website der Sparkasse gefunden haben."
411,11.45,14.95,0,0.05,"Von dieser Sparkasse haben wir keinen Preisaushang erhalten. Die Angaben beziehen sich auf Antworten, die wir per E-Mail erhalten haben."
413,11.28,16.28,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
210,11.281,11.281,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
394,11.29,16.79,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
54,11.29,11.29,0,0.05,"Von dieser Sparkasse haben wir einen Preisaushang erhalten. Guthaben-Zinsen sind gestaffelt. Ab 1 Mio. Euro gelten 0,01 Prozent."
151,11.29,11.29,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
61,11.29,11.29,0,0.1,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
375,11.3,17.3,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
271,11.3,14.3,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
83,11.3,11.3,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
268,11.3,11.3,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
8,11.31,11.31,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
132,11.31,11.31,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
143,11.31,11.31,0,0.05,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
150,11.33,11.33,0,0.01,Von dieser Sparkasse haben wir einen Preisaushang erhalten.
